"","x","y"
"1",-27.162656400385,-25.0244988864142
"2",-27.1395572666025,-25.1804008908686
"3",-27.11645813282,-25.3051224944321
"4",-27.1049085659288,-25.3986636971047
"5",-27.0933589990375,-25.3986636971047
"6",-27.0471607314726,-25.4922048997773
"7",-27.0125120307988,-25.5233853006681
"8",-26.9778633301251,-25.5233853006681
"9",-26.9316650625601,-25.5233853006681
"10",-26.9201154956689,-25.5233853006681
"11",-26.9201154956689,-25.554565701559
"12",-26.8854667949952,-25.554565701559
"13",-26.8046198267565,-25.6169265033407
"14",-26.735322425409,-25.6169265033407
"15",-26.6429258902791,-25.6481069042316
"16",-26.6082771896054,-25.6792873051225
"17",-26.5851780558229,-25.7104677060134
"18",-26.5389797882579,-25.7416481069042
"19",-26.5043310875842,-25.7416481069042
"20",-26.492781520693,-25.7416481069042
"21",-26.4234841193455,-25.7416481069042
"22",-26.400384985563,-25.7416481069042
"23",-26.3657362848893,-25.7416481069042
"24",-26.3195380173243,-25.7416481069042
"25",-26.2733397497594,-25.7416481069042
"26",-26.2502406159769,-25.7416481069042
"27",-26.2155919153032,-25.7416481069042
"28",-26.2155919153032,-25.7416481069042
"29",-26.1347449470645,-25.7416481069042
"30",-26.1000962463908,-25.7416481069042
"31",-26.0538979788258,-25.7416481069042
"32",-26.0423484119345,-25.7416481069042
"33",-26.0076997112608,-25.7416481069042
"34",-25.9615014436959,-25.7416481069042
"35",-25.9268527430221,-25.7416481069042
"36",-25.9037536092396,-25.7416481069042
"37",-25.8344562078922,-25.7416481069042
"38",-25.8344562078922,-25.7416481069042
"39",-25.776708373436,-25.7416481069042
"40",-25.7651588065448,-25.7416481069042
"41",-25.6496631376323,-25.804008908686
"42",-25.5572666025024,-25.7416481069042
"43",-25.4995187680462,-25.6792873051225
"44",-25.4648700673725,-25.6481069042316
"45",-25.4533205004812,-25.6481069042316
"46",-25.4186717998075,-25.6169265033407
"47",-25.3840230991338,-25.6169265033407
"48",-25.3147256977863,-25.5857461024499
"49",-25.2916265640038,-25.554565701559
"50",-25.2685274302214,-25.5233853006681
"51",-25.1876804619827,-25.5233853006681
"52",-25.1530317613089,-25.4610244988864
"53",-25.106833493744,-25.4610244988864
"54",-25.060635226179,-25.4298440979955
"55",-25.0490856592878,-25.3986636971047
"56",-24.9566891241578,-25.3051224944321
"57",-24.9220404234841,-25.2739420935412
"58",-24.8989412897016,-25.2739420935412
"59",-24.8758421559191,-25.2427616926503
"60",-24.7834456207892,-25.086859688196
"61",-24.771896053898,-24.9933184855234
"62",-24.7487969201155,-24.8997772828508
"63",-24.7141482194418,-24.837416481069
"64",-24.6679499518768,-24.7750556792873
"65",-24.6679499518768,-24.7126948775056
"66",-24.6679499518768,-24.6815144766147
"67",-24.6679499518768,-24.5567928730512
"68",-24.7141482194418,-24.5567928730512
"69",-24.7487969201155,-24.4632516703786
"70",-24.771896053898,-24.4008908685969
"71",-24.771896053898,-24.4008908685969
"72",-24.8065447545717,-24.3385300668151
"73",-24.8296438883542,-24.3385300668151
"74",-24.8411934552454,-24.3073496659243
"75",-24.8989412897016,-24.2761692650334
"76",-24.9220404234841,-24.2449888641425
"77",-24.9566891241578,-24.2138084632517
"78",-25.0375360923965,-24.2138084632517
"79",-25.060635226179,-24.1826280623608
"80",-25.106833493744,-24.1514476614699
"81",-25.106833493744,-24.1514476614699
"82",-25.106833493744,-24.1514476614699
"83",-25.2107795957652,-24.1202672605791
"84",-25.2107795957652,-24.1202672605791
"85",-25.2107795957652,-24.1202672605791
"86",-25.2569778633301,-24.0890868596882
"87",-25.3493743984601,-24.0579064587973
"88",-25.3493743984601,-24.0579064587973
"89",-25.4302213666987,-24.0579064587973
"90",-25.4995187680462,-24.0579064587973
"91",-25.5226179018287,-24.0579064587973
"92",-25.5572666025024,-24.0579064587973
"93",-25.6150144369586,-24.0579064587973
"94",-25.6727622714148,-24.0579064587973
"95",-25.730510105871,-24.0579064587973
"96",-25.776708373436,-24.0579064587973
"97",-25.8344562078922,-24.0579064587973
"98",-25.9037536092396,-24.0579064587973
"99",-25.9037536092396,-24.0579064587973
"100",-25.9846005774783,-24.0579064587973
"101",-26.0307988450433,-24.0579064587973
"102",-26.0769971126083,-24.0579064587973
"103",-26.1462945139557,-24.0890868596882
"104",-26.157844080847,-24.0890868596882
"105",-26.2617901828681,-24.1202672605791
"106",-26.2617901828681,-24.1202672605791
"107",-26.2617901828681,-24.1202672605791
"108",-26.3195380173243,-24.1514476614699
"109",-26.4119345524543,-24.1826280623608
"110",-26.446583253128,-24.2138084632517
"111",-26.492781520693,-24.2761692650334
"112",-26.5274302213667,-24.3073496659243
"113",-26.5967276227141,-24.3073496659243
"114",-26.6429258902791,-24.3073496659243
"115",-26.6544754571703,-24.3073496659243
"116",-26.7006737247353,-24.369710467706
"117",-26.735322425409,-24.369710467706
"118",-26.7930702598652,-24.4008908685969
"119",-26.827718960539,-24.4320712694877
"120",-26.9201154956689,-24.4944320712695
"121",-26.9201154956689,-24.4944320712695
"122",-26.9778633301251,-24.5879732739421
"123",-26.9778633301251,-24.5879732739421
"124",-27.0125120307988,-24.5879732739421
"125",-27.0587102983638,-24.6503340757238
"126",-27.1049085659288,-24.7438752783964
"127",-27.11645813282,-24.7438752783964
"128",-27.1395572666025,-24.8685968819599
"129",-27.1395572666025,-24.8685968819599
"130",-27.162656400385,-24.9933184855234
"131",-27.162656400385,-24.9933184855234
"132",-27.162656400385,-24.9933184855234
"133",-27.1395572666025,-25.1180400890869
"134",-27.1395572666025,-25.1180400890869
"135",-27.1395572666025,-25.2115812917595
"136",-30.8123195380173,-32.8195991091314
"137",-30.8238691049086,-32.6636971046771
"138",-30.7776708373436,-32.5389755011136
"139",-30.7083734359961,-32.3518930957684
"140",-30.7083734359961,-32.3518930957684
"141",-30.6737247353224,-32.3207126948775
"142",-30.6159769008662,-32.1648106904232
"143",-30.604427333975,-32.1648106904232
"144",-30.55822906641,-32.0712694877505
"145",-30.4773820981713,-31.9153674832962
"146",-30.4196342637151,-31.8218262806236
"147",-30.3965351299326,-31.7594654788419
"148",-30.3272377285852,-31.6659242761693
"149",-30.269489894129,-31.5723830734967
"150",-30.223291626564,-31.5100222717149
"151",-30.1886429258903,-31.478841870824
"152",-30.1308950914341,-31.3853006681514
"153",-30.1077959576516,-31.3541202672606
"154",-30.0384985563041,-31.3229398663697
"155",-29.9923002887392,-31.260579064588
"156",-29.934552454283,-31.1358574610245
"157",-29.8999037536092,-31.1358574610245
"158",-29.8537054860443,-31.0734966592428
"159",-29.7959576515881,-31.0423162583519
"160",-29.7613089509143,-30.9799554565701
"161",-29.6920115495669,-30.9175946547884
"162",-29.6458132820019,-30.9175946547884
"163",-29.5880654475457,-30.8240534521158
"164",-29.5187680461983,-30.8240534521158
"165",-29.4148219441771,-30.7616926503341
"166",-29.4148219441771,-30.7616926503341
"167",-29.2993262752647,-30.543429844098
"168",-29.2762271414822,-30.543429844098
"169",-29.1838306063523,-30.543429844098
"170",-29.1145332050048,-30.5122494432071
"171",-29.0105871029836,-30.3875278396436
"172",-28.9874879692011,-30.3563474387528
"173",-28.88354186718,-30.3563474387528
"174",-28.8604427333975,-30.3563474387528
"175",-28.79114533205,-30.3563474387528
"176",-28.7564966313763,-30.3251670378619
"177",-28.6756496631376,-30.293986636971
"178",-28.6525505293551,-30.293986636971
"179",-28.6294513955727,-30.293986636971
"180",-28.5717035611165,-30.3251670378619
"181",-28.5717035611165,-30.3563474387528
"182",-28.548604427334,-30.3563474387528
"183",-28.548604427334,-30.3563474387528
"184",-28.5255052935515,-30.4498886414254
"185",-28.5255052935515,-30.4810690423162
"186",-28.5255052935515,-30.7616926503341
"187",-28.5255052935515,-30.7616926503341
"188",-28.5255052935515,-30.8864142538975
"189",-28.6179018286814,-31.1046770601336
"190",-28.6410009624639,-31.1982182628062
"191",-28.6756496631376,-31.2293986636971
"192",-28.7218479307026,-31.3229398663697
"193",-28.7333974975938,-31.3229398663697
"194",-28.7795957651588,-31.4476614699332
"195",-28.8142444658325,-31.4476614699332
"196",-28.8719923002887,-31.6347438752784
"197",-28.9066410009625,-31.6347438752784
"198",-28.9759384023099,-31.728285077951
"199",-29.0336862367661,-31.7906458797327
"200",-29.0798845043311,-31.8530066815145
"201",-29.1145332050048,-31.8841870824053
"202",-29.1838306063523,-31.9777282850779
"203",-29.2762271414822,-32.0400890868597
"204",-29.3224254090472,-32.0712694877505
"205",-29.4032723772858,-32.1336302895323
"206",-29.4841193455245,-32.2271714922049
"207",-29.5418671799807,-32.3207126948775
"208",-29.5649663137632,-32.4142538975501
"209",-29.6227141482194,-32.5077951002227
"210",-29.7035611164581,-32.5077951002227
"211",-29.7959576515881,-32.5389755011136
"212",-29.8999037536092,-32.6636971046771
"213",-29.9692011549567,-32.7572383073497
"214",-30.0038498556304,-32.7572383073497
"215",-30.0615976900866,-32.8507795100223
"216",-30.0962463907603,-32.8507795100223
"217",-30.2117420596728,-32.8819599109131
"218",-30.2463907603465,-32.9443207126949
"219",-30.3387872954764,-33.0066815144766
"220",-30.3387872954764,-33.0378619153675
"221",-30.4311838306063,-33.0378619153675
"222",-30.4889316650626,-33.0378619153675
"223",-30.5466794995188,-33.0378619153675
"224",-30.5697786333012,-33.0378619153675
"225",-30.6275264677574,-33.0378619153675
"226",-30.6390760346487,-33.0378619153675
"227",-30.6852743022137,-33.0690423162583
"228",-30.7314725697786,-33.0690423162583
"229",-30.7776708373436,-32.9755011135857
"230",-30.8123195380173,-32.913140311804
"231",-30.8123195380173,-32.913140311804
"232",-30.8354186717998,-32.8819599109131
"233",-30.9047160731472,-35.2204899777283
"234",-30.9047160731472,-35.0645879732739
"235",-30.8816169393648,-34.9086859688196
"236",-30.8123195380173,-34.7839643652561
"237",-30.7776708373436,-34.7216035634744
"238",-30.6506256015399,-34.5345211581292
"239",-30.6390760346487,-34.5033407572383
"240",-30.5466794995188,-34.4097995545657
"241",-30.512030798845,-34.3786191536748
"242",-30.4658325312801,-34.2850779510022
"243",-30.4080846968239,-34.097995545657
"244",-30.3387872954764,-34.0356347438753
"245",-30.2579403272377,-33.9420935412027
"246",-30.2348411934552,-33.9420935412027
"247",-30.2117420596728,-33.8485523385301
"248",-30.1308950914341,-33.8173719376392
"249",-30.0962463907603,-33.7550111358575
"250",-30.0269489894129,-33.6926503340757
"251",-30.0038498556304,-33.6614699331848
"252",-29.934552454283,-33.5991091314031
"253",-29.8652550529355,-33.5055679287305
"254",-29.8190567853705,-33.4432071269488
"255",-29.6920115495669,-33.380846325167
"256",-29.6689124157844,-33.380846325167
"257",-29.5996150144369,-33.3496659242762
"258",-29.4956689124158,-33.2249443207127
"259",-29.3455245428296,-33.1937639198218
"260",-29.2531280076997,-33.0066815144766
"261",-29.2300288739172,-33.0066815144766
"262",-29.2069297401347,-32.9755011135857
"263",-29.0914340712223,-32.8819599109131
"264",-29.0452358036574,-32.8507795100223
"265",-28.9990375360924,-32.8507795100223
"266",-28.8719923002887,-32.7884187082405
"267",-28.79114533205,-32.6636971046771
"268",-28.7102983638113,-32.6636971046771
"269",-28.6871992300289,-32.6636971046771
"270",-28.6294513955727,-32.6636971046771
"271",-28.5370548604427,-32.6325167037862
"272",-28.5255052935515,-32.6013363028953
"273",-28.3984600577478,-32.5701559020044
"274",-28.3753609239653,-32.5389755011136
"275",-28.3060635226179,-32.5077951002227
"276",-28.2714148219442,-32.5077951002227
"277",-28.2598652550529,-32.5077951002227
"278",-28.1443695861405,-32.4766146993318
"279",-28.1097208854668,-32.445434298441
"280",-28.0866217516843,-32.445434298441
"281",-27.9595765158806,-32.445434298441
"282",-27.9595765158806,-32.445434298441
"283",-27.9249278152069,-32.445434298441
"284",-27.8440808469682,-32.4142538975501
"285",-27.832531280077,-32.4142538975501
"286",-27.7747834456208,-32.4142538975501
"287",-27.6939364773821,-32.4142538975501
"288",-27.6477382098171,-32.4142538975501
"289",-27.6130895091434,-32.4142538975501
"290",-27.5899903753609,-32.4142538975501
"291",-27.5322425409047,-32.5077951002227
"292",-27.5206929740135,-32.5077951002227
"293",-27.451395572666,-32.6325167037862
"294",-27.4398460057748,-32.6325167037862
"295",-27.4398460057748,-32.7884187082405
"296",-27.4398460057748,-32.8195991091314
"297",-27.4398460057748,-32.913140311804
"298",-27.4398460057748,-33.0378619153675
"299",-27.4398460057748,-33.0378619153675
"300",-27.497593840231,-33.162583518931
"301",-27.497593840231,-33.162583518931
"302",-27.497593840231,-33.162583518931
"303",-27.5206929740135,-33.3184855233853
"304",-27.5206929740135,-33.3184855233853
"305",-27.5784408084697,-33.3496659242762
"306",-27.6361886429259,-33.5367483296214
"307",-27.6823869104908,-33.5679287305122
"308",-27.7170356111646,-33.630289532294
"309",-27.7285851780558,-33.6614699331848
"310",-27.7516843118383,-33.6926503340757
"311",-27.832531280077,-33.7550111358575
"312",-27.832531280077,-33.7550111358575
"313",-27.8671799807507,-33.8173719376392
"314",-27.8902791145332,-33.8173719376392
"315",-27.9249278152069,-33.8485523385301
"316",-27.9711260827719,-33.9420935412027
"317",-28.0173243503369,-34.0668151447661
"318",-28.0519730510106,-34.097995545657
"319",-28.121270452358,-34.1603563474387
"320",-28.121270452358,-34.1603563474387
"321",-28.167468719923,-34.2227171492205
"322",-28.2367661212704,-34.2850779510022
"323",-28.2945139557267,-34.3786191536748
"324",-28.3407122232916,-34.4409799554566
"325",-28.4100096246391,-34.4721603563474
"326",-28.4446583253128,-34.5033407572383
"327",-28.4446583253128,-34.5033407572383
"328",-28.5255052935515,-34.5345211581292
"329",-28.5601539942252,-34.56570155902
"330",-28.6063522617902,-34.6592427616926
"331",-28.6641000962464,-34.6904231625835
"332",-28.7102983638113,-34.7216035634744
"333",-28.7564966313763,-34.7216035634744
"334",-28.8142444658325,-34.815144766147
"335",-28.8604427333975,-34.815144766147
"336",-28.9181905678537,-34.9086859688196
"337",-28.9643888354187,-34.9398663697105
"338",-28.9643888354187,-34.9398663697105
"339",-28.9759384023099,-34.9398663697105
"340",-29.0336862367661,-34.9398663697105
"341",-29.1029836381136,-35.0022271714922
"342",-29.1491819056785,-35.0334075723831
"343",-29.2069297401347,-35.0645879732739
"344",-29.2415784408085,-35.0645879732739
"345",-29.2877767083734,-35.1269487750557
"346",-29.2877767083734,-35.1269487750557
"347",-29.3455245428296,-35.1581291759465
"348",-29.4379210779596,-35.2516703786191
"349",-29.5303176130895,-35.2516703786191
"350",-29.6111645813282,-35.3452115812917
"351",-29.6920115495669,-35.3452115812917
"352",-29.7613089509143,-35.3452115812917
"353",-29.8075072184793,-35.4075723830735
"354",-29.8306063522618,-35.4387527839644
"355",-29.888354186718,-35.4699331848552
"356",-29.9461020211742,-35.5011135857461
"357",-30.0153994225216,-35.5011135857461
"358",-30.0731472569779,-35.5011135857461
"359",-30.1539942252165,-35.532293986637
"360",-30.1886429258903,-35.532293986637
"361",-30.2579403272377,-35.5634743875278
"362",-30.3272377285852,-35.5634743875278
"363",-30.3849855630414,-35.5634743875278
"364",-30.4658325312801,-35.5634743875278
"365",-30.4658325312801,-35.5634743875278
"366",-30.5466794995188,-35.5634743875278
"367",-30.5928777670837,-35.5634743875278
"368",-30.6506256015399,-35.5634743875278
"369",-30.6621751684312,-35.5634743875278
"370",-30.7083734359961,-35.5634743875278
"371",-30.7661212704523,-35.5011135857461
"372",-30.7892204042348,-35.4699331848552
"373",-30.8123195380173,-35.4075723830735
"374",-30.8354186717998,-35.4075723830735
"375",-30.8816169393648,-35.3452115812917
"376",-30.9047160731472,-35.2516703786191
"377",-30.9047160731472,-35.2516703786191
"378",-30.9047160731472,-35.1581291759465
